donor;purposeName;nr of projects;total amount;amount per capita (amount / capita average 2010-2012);amount per gdp (amount / sum gdp 2010 - 2012);;Settings;;;;;;;;;;;;
Canada;Biomass;3;25,04;7,2581E-07;4,837E-12;;;;;;;;;;;;;;
Canada;Geothermal energy;3;25,04;7,2581E-07;4,837E-12;;;;;;;;;;;;;;
Canada;Solar energy;3;25,04;7,2581E-07;4,837E-12;;;;;;;;;;;;;;
Canada;Agricultural land resources;3;5,45;1,57955E-07;1,053E-12;;;;;;;;;;;;;;
Canada;Agricultural research;3;1,3;3,77421E-08;2,52E-13;;;;;;;;;;;;;;
Canada;Forestry education/training;2;2,27;6,56713E-08;4,38E-13;;;;;;;;;;;;;;
Canada;Agricultural co-operatives;2;0,83;2,40516E-08;1,6E-13;;;;;;;;;;;;;;
Canada;Food aid/Food security programmes;1;7,58;2,19806E-07;1,465E-12;;;;;;;;;;;;;;
Canada;Agricultural water resources;1;3,79;1,09903E-07;7,32E-13;;;;;;;;;;;;;;
Canada;Agro-industries;1;1,6;4,64312E-08;3,09E-13;;;;;;;;;;;;;;
Canada;Agricultural services;1;1,52;4,40087E-08;2,93E-13;;;;;;;;;;;;;;
Canada;Public sector policy and adm. management;1;1,42;4,1155E-08;2,74E-13;;;;;;;;;;;;;;
Canada;Fishery development;1;1,12;3,24144E-08;2,16E-13;;;;;;;;;;;;;;
Canada;Site preservation;1;0,8;2,32259E-08;1,55E-13;;;;;;;;;;;;;;
Canada;Agricultural extension;1;0,79;2,29028E-08;1,53E-13;;;;;;;;;;;;;;
Canada;Forestry development;1;0,64;1,8556E-08;1,24E-13;;;;;;;;;;;;;;
Canada;Agricultural financial services;1;0,51;1,488E-08;9,9E-14;;;;;;;;;;;;;;
Canada;Agricultural policy & admin. mgmt;1;0,49;1,41475E-08;9,4E-14;;;;;;;;;;;;;;
Canada;Food crop production;1;0,47;1,3712E-08;9,1E-14;;;;;;;;;;;;;;
Canada;Plant and post-harvest protection and pest control;1;0,3;8,63336E-09;5,8E-14;;;;;;;;;;;;;;
Canada;Rural development;1;0,15;4,27676E-09;2,9E-14;;;;;;;;;;;;;;
Canada;Basic nutrition;1;0,15;4,23205E-09;2,8E-14;;;;;;;;;;;;;;
Czech Republic;Flood prevention/control;5;0,23;2,15837E-08;3,71E-13;;;;;;;;;;;;;;
Czech Republic;Basic drinking water supply;1;0,71;6,80052E-08;1,17E-12;;;;;;;;;;;;;;
Czech Republic;River basins development;1;0,27;2,60846E-08;4,49E-13;;;;;;;;;;;;;;
Denmark;Environmental policy and admin. mgmt;29;113,97;2,04623E-05;1,18484E-10;;;;;;;;;;;;;;
Denmark;Environmental education/training;2;1,85;3,31698E-07;1,921E-12;;;;;;;;;;;;;;
Denmark;Disaster prevention and preparedness;2;1,5;2,69609E-07;1,561E-12;;;;;;;;;;;;;;
Denmark;Water resources protection;1;0,87;1,55752E-07;9,02E-13;;;;;;;;;;;;;;
Denmark;Small and medium-sized enterprises (SME) development;1;0,44;7,98123E-08;4,62E-13;;;;;;;;;;;;;;
Denmark;Agricultural research;1;0,41;7,42288E-08;4,3E-13;;;;;;;;;;;;;;
Denmark;Culture and recreation;1;0,28;4,95727E-08;2,87E-13;;;;;;;;;;;;;;
Denmark;Rural development;1;0,26;4,71648E-08;2,73E-13;;;;;;;;;;;;;;
EU Institutions;Environmental policy and admin. mgmt;37;468,69;9,22919E-07;9,259E-12;;;;;;;;;;;;;;
EU Institutions;Disaster prevention and preparedness;7;12,61;2,4835E-08;2,49E-13;;;;;;;;;;;;;;
EU Institutions;Energy policy and admin. management;3;23,61;4,64863E-08;4,66E-13;;;;;;;;;;;;;;
EU Institutions;Water resources policy/admin. mgmt;3;13,22;2,60329E-08;2,61E-13;;;;;;;;;;;;;;
EU Institutions;Forestry policy & admin. management;2;57,7;1,13612E-07;1,14E-12;;;;;;;;;;;;;;
EU Institutions;Livestock;2;22,24;4,38028E-08;4,39E-13;;;;;;;;;;;;;;
EU Institutions;Forestry development;2;12,12;2,38721E-08;2,39E-13;;;;;;;;;;;;;;
EU Institutions;Water supply - large systems;1;55,64;1,09555E-07;1,099E-12;;;;;;;;;;;;;;
EU Institutions;Agricultural land resources;1;34,34;6,76265E-08;6,78E-13;;;;;;;;;;;;;;
EU Institutions;Water supply & sanit. - large systems;1;25,41;5,00436E-08;5,02E-13;;;;;;;;;;;;;;
EU Institutions;Trade policy and admin. management;1;17,59;3,46354E-08;3,47E-13;;;;;;;;;;;;;;
EU Institutions;Agricultural water resources;1;15,29;3,01174E-08;3,02E-13;;;;;;;;;;;;;;
EU Institutions;Biosphere protection;1;15,11;2,97556E-08;2,99E-13;;;;;;;;;;;;;;
EU Institutions;Flood prevention/control;1;11,12;2,19035E-08;2,2E-13;;;;;;;;;;;;;;
EU Institutions;Agricultural policy & admin. mgmt;1;4,59;9,03521E-09;9,1E-14;;;;;;;;;;;;;;
EU Institutions;General budget support-related aid;1;3,94;7,75832E-09;7,8E-14;;;;;;;;;;;;;;
Finland;Environmental policy and admin. mgmt;15;19,32;3,58498E-06;2,5939E-11;;;;;;;;;;;;;;
Finland;Power generat./non-renewable sources;7;0,69;1,27332E-07;9,21E-13;;;;;;;;;;;;;;
Finland;Disaster prevention and preparedness;6;1,1;2,0493E-07;1,483E-12;;;;;;;;;;;;;;
Finland;Sectors not specified;5;1,4;2,59691E-07;1,879E-12;;;;;;;;;;;;;;
Finland;Power generation/renewable sources;3;15,92;2,95424E-06;2,1375E-11;;;;;;;;;;;;;;
