donor;purposeName;nr of projects;total amount;amount per capita (amount / capita average 2010-2012);amount per gdp (amount / sum gdp 2010 - 2012);;Settings;;;;;;;;;;;;
Italy;Agricultural extension;1;0,01;1,93793E-10;2E-15;;;;;;;;;;;;;;
Italy;Food crop production;1;0,01;9,0584E-11;1E-15;;;;;;;;;;;;;;
Japan;Disaster prevention and preparedness;61;121,57;9,52701E-07;7,006E-12;;;;;;;;;;;;;;
Japan;Environmental policy and admin. mgmt;28;705,94;5,53202E-06;4,0684E-11;;;;;;;;;;;;;;
Japan;Flood prevention/control;24;261,08;2,0459E-06;1,5046E-11;;;;;;;;;;;;;;
Japan;Agricultural water resources;15;228,04;1,78699E-06;1,3142E-11;;;;;;;;;;;;;;
Japan;Water supply - large systems;10;367,84;2,88254E-06;2,1199E-11;;;;;;;;;;;;;;
Japan;Forestry policy & admin. management;8;28,31;2,21837E-07;1,631E-12;;;;;;;;;;;;;;
Japan;Basic drinking water supply;8;24,94;1,95447E-07;1,437E-12;;;;;;;;;;;;;;
Japan;River basins development;7;0,96;7,51213E-09;5,5E-14;;;;;;;;;;;;;;
Japan;Reconstruction relief and rehabilitation;6;233,35;1,82864E-06;1,3448E-11;;;;;;;;;;;;;;
Japan;Bio-diversity;6;12,66;9,92214E-08;7,3E-13;;;;;;;;;;;;;;
Japan;Agricultural policy & admin. mgmt;6;4,26;3,33941E-08;2,46E-13;;;;;;;;;;;;;;
Japan;Reproductive health care;6;3,01;2,35573E-08;1,73E-13;;;;;;;;;;;;;;
Japan;Forestry education/training;5;3,36;2,62929E-08;1,93E-13;;;;;;;;;;;;;;
Japan;Sanitation - large systems;4;110,07;8,62545E-07;6,343E-12;;;;;;;;;;;;;;
Japan;Material relief assistance and services;4;22,11;1,73274E-07;1,274E-12;;;;;;;;;;;;;;
Japan;Agricultural research;4;1,02;8,02974E-09;5,9E-14;;;;;;;;;;;;;;
Japan;Forestry development;3;0,8;6,23105E-09;4,6E-14;;;;;;;;;;;;;;
Japan;Social/welfare services;3;0,64;4,97938E-09;3,7E-14;;;;;;;;;;;;;;
Japan;Agricultural development;3;0,4;3,13277E-09;2,3E-14;;;;;;;;;;;;;;
Japan;Agricultural education/training;3;0,34;2,64534E-09;1,9E-14;;;;;;;;;;;;;;
Japan;Environmental education/training;3;0,17;1,36242E-09;1E-14;;;;;;;;;;;;;;
Japan;Research/scientific institutions;3;0,15;1,17284E-09;9E-15;;;;;;;;;;;;;;
Japan;Road transport;2;12,86;1,00777E-07;7,41E-13;;;;;;;;;;;;;;
Japan;Solar energy;2;6,75;5,28681E-08;3,89E-13;;;;;;;;;;;;;;
Japan;Multisector aid;2;2,34;1,83341E-08;1,35E-13;;;;;;;;;;;;;;
Japan;Food aid/Food security programmes;2;1;7,8305E-09;5,8E-14;;;;;;;;;;;;;;
Japan;Public sector policy and adm. management;2;0,53;4,14929E-09;3,1E-14;;;;;;;;;;;;;;
Japan;Livestock;1;4,18;3,27536E-08;2,41E-13;;;;;;;;;;;;;;
Japan;Water resources policy/admin. mgmt;1;3,56;2,79215E-08;2,05E-13;;;;;;;;;;;;;;
Japan;Personnel dvpt: pop. & repro health;1;2;1,56728E-08;1,15E-13;;;;;;;;;;;;;;
Japan;Food crop production;1;1,93;1,51212E-08;1,11E-13;;;;;;;;;;;;;;
Japan;Basic drinking water supply and basic sanitation;1;1,57;1,22711E-08;9E-14;;;;;;;;;;;;;;
Japan;Agricultural services;1;0,96;7,48936E-09;5,5E-14;;;;;;;;;;;;;;
Japan;Fishing policy and admin. management;1;0,29;2,23987E-09;1,6E-14;;;;;;;;;;;;;;
Japan;Education facilities and training;1;0,24;1,84934E-09;1,4E-14;;;;;;;;;;;;;;
Japan;Biomass;1;0,17;1,30262E-09;1E-14;;;;;;;;;;;;;;
Japan;Human rights;1;0,13;9,91865E-10;7E-15;;;;;;;;;;;;;;
Korea;Disaster prevention and preparedness;90;1,36;2,72766E-08;4,16E-13;;;;;;;;;;;;;;
Korea;Environmental policy and admin. mgmt;19;33,15;6,66631E-07;1,0173E-11;;;;;;;;;;;;;;
Korea;Public sector policy and adm. management;17;0,53;1,06779E-08;1,63E-13;;;;;;;;;;;;;;
Korea;Water resources policy/admin. mgmt;13;52,86;1,06301E-06;1,6221E-11;;;;;;;;;;;;;;
Korea;Water resources protection;11;1,37;2,75177E-08;4,2E-13;;;;;;;;;;;;;;
Korea;Advanced tech. & managerial training;11;0,12;2,37871E-09;3,6E-14;;;;;;;;;;;;;;
Korea;Environmental education/training;8;0,76;1,52658E-08;2,33E-13;;;;;;;;;;;;;;
Korea;Flood prevention/control;3;6,47;1,30196E-07;1,987E-12;;;;;;;;;;;;;;
Korea;Agricultural water resources;2;32,12;6,45958E-07;9,857E-12;;;;;;;;;;;;;;
Korea;Food aid/Food security programmes;2;3,89;7,82004E-08;1,193E-12;;;;;;;;;;;;;;
Korea;Infectious disease control;1;1,23;2,4724E-08;3,77E-13;;;;;;;;;;;;;;
Korea;Basic drinking water supply and basic sanitation;1;0,63;1,26682E-08;1,93E-13;;;;;;;;;;;;;;
Korea;Rural development;1;0,34;6,84508E-09;1,04E-13;;;;;;;;;;;;;;
Korea;Agricultural policy & admin. mgmt;1;0,08;1,58907E-09;2,4E-14;;;;;;;;;;;;;;
Korea;Environmental research;1;0,03;5,54308E-10;8E-15;;;;;;;;;;;;;;
Korea;Small and medium-sized enterprises (SME) development;1;0,03;5,39343E-10;8E-15;;;;;;;;;;;;;;
Korea;Education policy & admin. management;1;0,02;3,49749E-10;5E-15;;;;;;;;;;;;;;
Korea;Forestry policy & admin. management;1;0;8,4475E-11;1E-15;;;;;;;;;;;;;;
Luxembourg;Agricultural development;7;0,2;3,9217E-07;1,234E-12;;;;;;;;;;;;;;
Luxembourg;Multisector aid for basic soc. serv.;6;1,04;1,99558E-06;6,282E-12;;;;;;;;;;;;;;
Luxembourg;Fuelwood/charcoal;6;0,13;2,55537E-07;8,04E-13;;;;;;;;;;;;;;
Luxembourg;Food crop production;3;0,23;4,50247E-07;1,417E-12;;;;;;;;;;;;;;
Luxembourg;Agricultural alternative development;3;0,1;1,97488E-07;6,22E-13;;;;;;;;;;;;;;
Luxembourg;Rural development;3;0,09;1,69307E-07;5,33E-13;;;;;;;;;;;;;;
Luxembourg;Environmental policy and admin. mgmt;2;0,65;1,24545E-06;3,92E-12;;;;;;;;;;;;;;
Luxembourg;Agricultural land resources;2;0,52;1,00773E-06;3,172E-12;;;;;;;;;;;;;;
Luxembourg;Agricultural education/training;2;0,03;6,06544E-08;1,91E-13;;;;;;;;;;;;;;
Luxembourg;Bio-diversity;1;0,09;1,70061E-07;5,35E-13;;;;;;;;;;;;;;
Luxembourg;Democratic participation and civil society;1;0,04;6,87226E-08;2,16E-13;;;;;;;;;;;;;;
Luxembourg;Administrative costs (non-sector allocable);1;0,03;5,03764E-08;1,59E-13;;;;;;;;;;;;;;
Luxembourg;Sectors not specified;1;0;5,51295E-09;1,7E-14;;;;;;;;;;;;;;
Netherlands;Environmental policy and admin. mgmt;15;42,65;2,55513E-06;1,7961E-11;;;;;;;;;;;;;;
Netherlands;Agricultural development;4;72,09;4,31852E-06;3,0356E-11;;;;;;;;;;;;;;
Netherlands;Environmental education/training;4;25,89;1,55133E-06;1,0905E-11;;;;;;;;;;;;;;
Netherlands;Bio-diversity;2;18,28;1,09524E-06;7,699E-12;;;;;;;;;;;;;;
Netherlands;Multisector aid;1;56,63;3,39247E-06;2,3847E-11;;;;;;;;;;;;;;
Netherlands;Biosphere protection;1;34,49;2,066E-06;1,4522E-11;;;;;;;;;;;;;;
Netherlands;Water resources policy/admin. mgmt;1;29,7;1,7794E-06;1,2508E-11;;;;;;;;;;;;;;
Netherlands;Power generation/renewable sources;1;13,79;8,26399E-07;5,809E-12;;;;;;;;;;;;;;
Netherlands;Water resources protection;1;7,93;4,75013E-07;3,339E-12;;;;;;;;;;;;;;
Netherlands;Forestry policy & admin. management;1;7,17;4,29728E-07;3,021E-12;;;;;;;;;;;;;;
Netherlands;Industrial crops/export crops;1;3,04;1,82353E-07;1,282E-12;;;;;;;;;;;;;;
Netherlands;Forestry research;1;2,78;1,66598E-07;1,171E-12;;;;;;;;;;;;;;
Netherlands;Energy policy and admin. management;1;1,9;1,1385E-07;8E-13;;;;;;;;;;;;;;
Netherlands;Water supply & sanit. - large systems;1;1,44;8,64508E-08;6,08E-13;;;;;;;;;;;;;;
Netherlands;Environmental research;1;0,69;4,132E-08;2,9E-13;;;;;;;;;;;;;;
Netherlands;Agricultural policy & admin. mgmt;1;0,37;2,23101E-08;1,57E-13;;;;;;;;;;;;;;
Netherlands;Agricultural services;1;0,18;1,05927E-08;7,4E-14;;;;;;;;;;;;;;
New Zealand;Environmental policy and admin. mgmt;4;0,49;1,10386E-07;1,027E-12;;;;;;;;;;;;;;
New Zealand;Disaster prevention and preparedness;3;5,44;1,23591E-06;1,1497E-11;;;;;;;;;;;;;;
New Zealand;Flood prevention/control;1;2,04;4,62431E-07;4,302E-12;;;;;;;;;;;;;;
New Zealand;Housing policy and admin. management;1;0,4;9,02371E-08;8,39E-13;;;;;;;;;;;;;;
New Zealand;Reconstruction relief and rehabilitation;1;0,09;2,0036E-08;1,86E-13;;;;;;;;;;;;;;
Norway;Environmental policy and admin. mgmt;42;40,22;8,12003E-06;2,8488E-11;;;;;;;;;;;;;;
Norway;Agricultural development;30;3,09;6,24511E-07;2,191E-12;;;;;;;;;;;;;;
Norway;Biosphere protection;20;0,37;7,49437E-08;2,63E-13;;;;;;;;;;;;;;
Norway;Disaster prevention and preparedness;18;41,22;8,32184E-06;2,9196E-11;;;;;;;;;;;;;;
Norway;Agricultural policy & admin. mgmt;12;30,36;6,12861E-06;2,1502E-11;;;;;;;;;;;;;;
Norway;Agricultural research;7;10,04;2,02731E-06;7,113E-12;;;;;;;;;;;;;;
Norway;Agricultural extension;6;56,36;1,13779E-05;3,9918E-11;;;;;;;;;;;;;;
Norway;Environmental education/training;6;14,61;2,94873E-06;1,0345E-11;;;;;;;;;;;;;;
Norway;Agricultural land resources;5;2,02;4,08495E-07;1,433E-12;;;;;;;;;;;;;;
Norway;Fishing policy and admin. management;4;1,71;3,44791E-07;1,21E-12;;;;;;;;;;;;;;
Norway;Agricultural inputs;4;0,54;1,08845E-07;3,82E-13;;;;;;;;;;;;;;
Norway;Flood prevention/control;3;5,43;1,09692E-06;3,848E-12;;;;;;;;;;;;;;
Norway;Agricultural co-operatives;3;1,57;3,1776E-07;1,115E-12;;;;;;;;;;;;;;
Norway;Women's equality organisations and institutions;3;0,07;1,34158E-08;4,7E-14;;;;;;;;;;;;;;
Norway;Multisector aid;2;22,59;4,5594E-06;1,5996E-11;;;;;;;;;;;;;;
Norway;Bio-diversity;2;4,05;8,18242E-07;2,871E-12;;;;;;;;;;;;;;
Norway;Energy education/training;2;0,59;1,19324E-07;4,19E-13;;;;;;;;;;;;;;
Norway;Forestry policy & admin. management;2;0,5;1,01842E-07;3,57E-13;;;;;;;;;;;;;;
Norway;Agricultural water resources;2;0,43;8,6881E-08;3,05E-13;;;;;;;;;;;;;;
Norway;Agricultural alternative development;2;0,14;2,86725E-08;1,01E-13;;;;;;;;;;;;;;
Norway;Decentralisation and support to subnational govt.;1;5,89;1,1886E-06;4,17E-12;;;;;;;;;;;;;;
Norway;Agricultural services;1;1,8;3,63663E-07;1,276E-12;;;;;;;;;;;;;;
Norway;Food crop production;1;1,17;2,35487E-07;8,26E-13;;;;;;;;;;;;;;
Norway;Power generation/renewable sources;1;0,54;1,08055E-07;3,79E-13;;;;;;;;;;;;;;
Norway;Urban development and management;1;0,52;1,04568E-07;3,67E-13;;;;;;;;;;;;;;
Norway;Democratic participation and civil society;1;0,3;5,99043E-08;2,1E-13;;;;;;;;;;;;;;
Norway;Social/welfare services;1;0,29;5,83496E-08;2,05E-13;;;;;;;;;;;;;;
Norway;Human rights;1;0,15;3,01155E-08;1,06E-13;;;;;;;;;;;;;;
Norway;Hydro-electric power plants;1;0,01;3,01155E-09;1,1E-14;;;;;;;;;;;;;;
Norway;Water resources protection;1;0,01;1,44073E-09;5E-15;;;;;;;;;;;;;;
Norway;Fishery development;1;0,01;1,08055E-09;4E-15;;;;;;;;;;;;;;
Norway;Forestry education/training;1;0;5,94301E-10;2E-15;;;;;;;;;;;;;;
Norway;Radio/television/print media;1;0;3,6E-14;0;;;;;;;;;;;;;;
Portugal;Basic drinking water supply;2;0,23;2,19693E-08;3,43E-13;;;;;;;;;;;;;;
Portugal;Environmental policy and admin. mgmt;1;0;3,94498E-10;6E-15;;;;;;;;;;;;;;
Spain;Disaster prevention and preparedness;39;16,65;3,60661E-07;4,009E-12;;;;;;;;;;;;;;
Spain;Environmental policy and admin. mgmt;18;9,32;2,01913E-07;2,244E-12;;;;;;;;;;;;;;
Spain;Water resources protection;18;0,11;2,39969E-09;2,7E-14;;;;;;;;;;;;;;
Spain;Water resources policy/admin. mgmt;15;2,81;6,09359E-08;6,77E-13;;;;;;;;;;;;;;
Spain;Biosphere protection;12;15,72;3,40597E-07;3,786E-12;;;;;;;;;;;;;;
Spain;Human rights;12;9,99;2,16402E-07;2,406E-12;;;;;;;;;;;;;;
Spain;Agricultural development;11;10,73;2,32417E-07;2,584E-12;;;;;;;;;;;;;;
Spain;Promotion of development awareness  (non-sector allocable);11;3,52;7,62106E-08;8,47E-13;;;;;;;;;;;;;;
Spain;Environmental education/training;11;0,64;1,38455E-08;1,54E-13;;;;;;;;;;;;;;
Spain;Rural development;7;1,8;3,90469E-08;4,34E-13;;;;;;;;;;;;;;
Spain;Women's equality organisations and institutions;5;1,81;3,92729E-08;4,37E-13;;;;;;;;;;;;;;
Spain;Flood prevention/control;5;1,03;2,23453E-08;2,48E-13;;;;;;;;;;;;;;
Spain;Multisector aid for basic soc. serv.;4;7,43;1,61055E-07;1,79E-12;;;;;;;;;;;;;;
Spain;Democratic participation and civil society;4;6,64;1,43858E-07;1,599E-12;;;;;;;;;;;;;;
Spain;Basic nutrition;4;6,33;1,37091E-07;1,524E-12;;;;;;;;;;;;;;
Spain;Education facilities and training;4;0,47;1,00823E-08;1,12E-13;;;;;;;;;;;;;;
Spain;Educ./trng:water supply & sanitation;4;0,12;2,50843E-09;2,8E-14;;;;;;;;;;;;;;
Spain;Decentralisation and support to subnational govt.;3;0,46;9,94769E-09;1,11E-13;;;;;;;;;;;;;;
Spain;Forestry development;3;0,29;6,21347E-09;6,9E-14;;;;;;;;;;;;;;
Spain;Material relief assistance and services;3;0,09;1,8887E-09;2,1E-14;;;;;;;;;;;;;;
Spain;Environmental research;3;0,05;1,17105E-09;1,3E-14;;;;;;;;;;;;;;
Spain;Participation in international peacekeeping operations;2;9,69;2,09918E-07;2,333E-12;;;;;;;;;;;;;;
Spain;Forestry policy & admin. management;2;2,55;5,5253E-08;6,14E-13;;;;;;;;;;;;;;
Spain;Basic drinking water supply;2;0,89;1,92704E-08;2,14E-13;;;;;;;;;;;;;;
Spain;Food crop production;2;0,74;1,60935E-08;1,79E-13;;;;;;;;;;;;;;
Spain;Water supply & sanit. - large systems;2;0,17;3,78992E-09;4,2E-14;;;;;;;;;;;;;;
Spain;Agricultural water resources;2;0,11;2,45098E-09;2,7E-14;;;;;;;;;;;;;;
Spain;Health personnel development;2;0,02;4,14496E-10;5E-15;;;;;;;;;;;;;;
Spain;Basic health infrastructure;1;2,25;4,86627E-08;5,41E-13;;;;;;;;;;;;;;
Spain;Bio-diversity;1;0,7;1,52071E-08;1,69E-13;;;;;;;;;;;;;;
Spain;Media and free flow of information;1;0,46;1,00367E-08;1,12E-13;;;;;;;;;;;;;;
Spain;Agricultural co-operatives;1;0,38;8,25131E-09;9,2E-14;;;;;;;;;;;;;;
Spain;Civilian peace-building, conflict prevention and resolution;1;0,35;7,60355E-09;8,5E-14;;;;;;;;;;;;;;
Spain;Vocational training;1;0,32;6,83784E-09;7,6E-14;;;;;;;;;;;;;;
Spain;Agricultural alternative development;1;0,28;6,07363E-09;6,8E-14;;;;;;;;;;;;;;
Spain;Food aid/Food security programmes;1;0,26;5,71896E-09;6,4E-14;;;;;;;;;;;;;;
Spain;Power generation/renewable sources;1;0,22;4,8201E-09;5,4E-14;;;;;;;;;;;;;;
Spain;Fishery development;1;0,21;4,47626E-09;5E-14;;;;;;;;;;;;;;
Spain;Legal and judicial development;1;0,11;2,28106E-09;2,5E-14;;;;;;;;;;;;;;
Spain;Public sector policy and adm. management;1;0,11;2,28106E-09;2,5E-14;;;;;;;;;;;;;;
Spain;Social/welfare services;1;0,11;2,28106E-09;2,5E-14;;;;;;;;;;;;;;
Spain;Research/scientific institutions;1;0,1;2,14547E-09;2,4E-14;;;;;;;;;;;;;;
Spain;Basic drinking water supply and basic sanitation;1;0,04;8,68507E-10;1E-14;;;;;;;;;;;;;;
Spain;Agricultural inputs;1;0,03;6,34896E-10;7E-15;;;;;;;;;;;;;;
Spain;Agricultural services;1;0,03;5,99559E-10;7E-15;;;;;;;;;;;;;;
Spain;Energy research;1;0,02;5,40658E-10;6E-15;;;;;;;;;;;;;;
Spain;Multisector education/training;1;0,02;4,97408E-10;6E-15;;;;;;;;;;;;;;
Spain;Low-cost housing;1;0,01;3,19349E-10;4E-15;;;;;;;;;;;;;;
Spain;Health education;1;0,01;1,63395E-10;2E-15;;;;;;;;;;;;;;
Spain;Sectors not specified;1;0,01;1,52071E-10;2E-15;;;;;;;;;;;;;;
Spain;Sanitation - large systems;1;0;8,4102E-11;1E-15;;;;;;;;;;;;;;
Spain;Agricultural research;1;0;4,6557E-11;1E-15;;;;;;;;;;;;;;
Spain;Reconstruction relief and rehabilitation;1;0;4,0904E-11;0;;;;;;;;;;;;;;
Sweden;Environmental policy and admin. mgmt;60;91,01;9,6331E-06;5,9759E-11;;;;;;;;;;;;;;
Sweden;Material relief assistance and services;13;19,87;2,10303E-06;1,3046E-11;;;;;;;;;;;;;;
Sweden;Water resources policy/admin. mgmt;7;33,01;3,49338E-06;2,1671E-11;;;;;;;;;;;;;;
Sweden;Disaster prevention and preparedness;7;14,42;1,52652E-06;9,47E-12;;;;;;;;;;;;;;
Sweden;Environmental research;5;10,59;1,12122E-06;6,955E-12;;;;;;;;;;;;;;
Sweden;Environmental education/training;4;1,8;1,90765E-07;1,183E-12;;;;;;;;;;;;;;
Sweden;Agricultural development;3;13,09;1,38524E-06;8,593E-12;;;;;;;;;;;;;;
Sweden;Public sector policy and adm. management;3;2,41;2,55076E-07;1,582E-12;;;;;;;;;;;;;;
Sweden;Forestry policy & admin. management;3;0,76;8,04228E-08;4,99E-13;;;;;;;;;;;;;;
Sweden;Trade policy and admin. management;2;11,47;1,21361E-06;7,529E-12;;;;;;;;;;;;;;
Sweden;Urban development and management;2;2,87;3,0405E-07;1,886E-12;;;;;;;;;;;;;;
Sweden;Research/scientific institutions;2;0,82;8,7139E-08;5,41E-13;;;;;;;;;;;;;;
Sweden;Vocational training;2;0,09;9,10775E-09;5,7E-14;;;;;;;;;;;;;;
Sweden;Biomass;2;0,07;7,77493E-09;4,8E-14;;;;;;;;;;;;;;
Sweden;Agricultural extension;1;53,37;5,64901E-06;3,5044E-11;;;;;;;;;;;;;;
Sweden;Basic drinking water supply and basic sanitation;1;15,25;1,614E-06;1,0013E-11;;;;;;;;;;;;;;
Sweden;Agricultural water resources;1;14,53;1,53749E-06;9,538E-12;;;;;;;;;;;;;;
Sweden;River basins development;1;4,57;4,84201E-07;3,004E-12;;;;;;;;;;;;;;
Sweden;Agricultural policy & admin. mgmt;1;4,16;4,40386E-07;2,732E-12;;;;;;;;;;;;;;
Sweden;Energy education/training;1;2,16;2,28663E-07;1,419E-12;;;;;;;;;;;;;;
Sweden;Water supply & sanit. - large systems;1;1,68;1,7754E-07;1,101E-12;;;;;;;;;;;;;;
Sweden;Agricultural research;1;1,09;1,15325E-07;7,15E-13;;;;;;;;;;;;;;
Sweden;Agricultural land resources;1;0,78;8,23418E-08;5,11E-13;;;;;;;;;;;;;;
Sweden;Agricultural services;1;0,77;8,15529E-08;5,06E-13;;;;;;;;;;;;;;
Sweden;Multisector education/training;1;0,77;8,15071E-08;5,06E-13;;;;;;;;;;;;;;
Sweden;Sectors not specified;1;0,76;8,07001E-08;5,01E-13;;;;;;;;;;;;;;
Sweden;Democratic participation and civil society;1;0,69;7,26301E-08;4,51E-13;;;;;;;;;;;;;;
Sweden;Forestry education/training;1;0,62;6,52147E-08;4,05E-13;;;;;;;;;;;;;;
Sweden;Waste management/disposal;1;0,5;5,32556E-08;3,3E-13;;;;;;;;;;;;;;
Sweden;Health policy & admin. management;1;0,3;3,13552E-08;1,95E-13;;;;;;;;;;;;;;
Sweden;Power generat./non-renewable sources;1;0,18;1,9368E-08;1,2E-13;;;;;;;;;;;;;;
Sweden;Public finance management;1;0,12;1,23513E-08;7,7E-14;;;;;;;;;;;;;;
Sweden;Promotion of development awareness  (non-sector allocable);1;0,1;1,02268E-08;6,3E-14;;;;;;;;;;;;;;
Sweden;Educ./trng:water supply & sanitation;1;0,05;4,99991E-09;3,1E-14;;;;;;;;;;;;;;
Sweden;Water resources protection;1;0,04;4,58377E-09;2,8E-14;;;;;;;;;;;;;;
Sweden;Ocean power;1;0,04;4,08343E-09;2,5E-14;;;;;;;;;;;;;;
Sweden;Energy policy and admin. management;1;0,03;3,22755E-09;2E-14;;;;;;;;;;;;;;
Sweden;Forestry development;1;0,03;3,09901E-09;1,9E-14;;;;;;;;;;;;;;
Switzerland;Biosphere protection;75;77,4;9,7833E-06;4,2083E-11;;;;;;;;;;;;;;
Switzerland;Disaster prevention and preparedness;35;12,78;1,61502E-06;6,947E-12;;;;;;;;;;;;;;
Switzerland;Material relief assistance and services;13;7,72;9,7541E-07;4,196E-12;;;;;;;;;;;;;;
Switzerland;Water resources policy/admin. mgmt;6;6,21;7,85006E-07;3,377E-12;;;;;;;;;;;;;;
Switzerland;Agricultural research;5;13,72;1,73415E-06;7,459E-12;;;;;;;;;;;;;;
Switzerland;Basic drinking water supply and basic sanitation;4;7,41;9,36305E-07;4,028E-12;;;;;;;;;;;;;;
Switzerland;Multisector aid;4;5,74;7,2572E-07;3,122E-12;;;;;;;;;;;;;;
Switzerland;Agricultural development;3;9,11;1,15142E-06;4,953E-12;;;;;;;;;;;;;;
Switzerland;Rural development;3;5,02;6,35046E-07;2,732E-12;;;;;;;;;;;;;;
Switzerland;Forestry development;3;4,47;5,64842E-07;2,43E-12;;;;;;;;;;;;;;
Switzerland;Water resources protection;3;4,22;5,33873E-07;2,296E-12;;;;;;;;;;;;;;
Switzerland;Environmental education/training;3;0,38;4,79752E-08;2,06E-13;;;;;;;;;;;;;;
Switzerland;Reconstruction relief and rehabilitation;3;0,28;3,57622E-08;1,54E-13;;;;;;;;;;;;;;
Switzerland;Small and medium-sized enterprises (SME) development;2;4,75;5,99804E-07;2,58E-12;;;;;;;;;;;;;;
Switzerland;Emergency food aid;2;1,13;1,42421E-07;6,13E-13;;;;;;;;;;;;;;
Switzerland;Agricultural services;2;0,31;3,96299E-08;1,7E-13;;;;;;;;;;;;;;
Switzerland;Power generation/renewable sources;1;26,1;3,29892E-06;1,419E-11;;;;;;;;;;;;;;
Switzerland;Electrical transmission/distribution;1;8;1,01059E-06;4,347E-12;;;;;;;;;;;;;;
Switzerland;Flood prevention/control;1;6;7,58609E-07;3,263E-12;;;;;;;;;;;;;;
Switzerland;Agricultural water resources;1;2,25;2,84938E-07;1,226E-12;;;;;;;;;;;;;;
Switzerland;Legal and judicial development;1;1,29;1,63562E-07;7,04E-13;;;;;;;;;;;;;;
Switzerland;Sectors not specified;1;1,13;1,42239E-07;6,12E-13;;;;;;;;;;;;;;
Switzerland;Trade policy and admin. management;1;0,69;8,68288E-08;3,73E-13;;;;;;;;;;;;;;
Switzerland;Agricultural policy & admin. mgmt;1;0,43;5,37967E-08;2,31E-13;;;;;;;;;;;;;;
Switzerland;Environmental policy and admin. mgmt;1;0,34;4,28431E-08;1,84E-13;;;;;;;;;;;;;;
Switzerland;Environmental research;1;0,17;2,13341E-08;9,2E-14;;;;;;;;;;;;;;
Switzerland;Formal sector financ. intermediaries;1;0,15;1,9183E-08;8,3E-14;;;;;;;;;;;;;;
Switzerland;Public sector policy and adm. management;1;0,05;6,46932E-09;2,8E-14;;;;;;;;;;;;;;
Switzerland;Higher education;1;0,01;1,42811E-09;6E-15;;;;;;;;;;;;;;
United Kingdom;Bio-diversity;409;532,76;8,49013E-06;7,3623E-11;;;;;;;;;;;;;;
United Kingdom;Environmental policy and admin. mgmt;124;513,35;8,18083E-06;7,0941E-11;;;;;;;;;;;;;;
United Kingdom;Environmental education/training;24;2,05;3,27168E-08;2,84E-13;;;;;;;;;;;;;;
United Kingdom;Power generation/renewable sources;19;25,91;4,12874E-07;3,58E-12;;;;;;;;;;;;;;
United Kingdom;Water resources policy/admin. mgmt;7;3,93;6,26215E-08;5,43E-13;;;;;;;;;;;;;;
United Kingdom;Forestry policy & admin. management;6;0,11;1,76088E-09;1,5E-14;;;;;;;;;;;;;;
United Kingdom;Environmental research;5;3,33;5,29974E-08;4,6E-13;;;;;;;;;;;;;;
United Kingdom;Disaster prevention and preparedness;4;2,62;4,17514E-08;3,62E-13;;;;;;;;;;;;;;
United Kingdom;River basins development;4;0,3;4,7012E-09;4,1E-14;;;;;;;;;;;;;;
United Kingdom;Research/scientific institutions;3;1,51;2,40523E-08;2,09E-13;;;;;;;;;;;;;;
United Kingdom;Trade policy and admin. management;2;0,48;7,63326E-09;6,6E-14;;;;;;;;;;;;;;
United Kingdom;Water supply & sanit. - large systems;2;0,36;5,70906E-09;5E-14;;;;;;;;;;;;;;
United Kingdom;Public sector policy and adm. management;2;0,13;2,08706E-09;1,8E-14;;;;;;;;;;;;;;
United Kingdom;Basic drinking water supply;2;0,07;1,09547E-09;9E-15;;;;;;;;;;;;;;
United Kingdom;Power generat./non-renewable sources;2;0,05;8,26632E-10;7E-15;;;;;;;;;;;;;;
United Kingdom;Energy policy and admin. management;1;1,65;2,62337E-08;2,27E-13;;;;;;;;;;;;;;
United Kingdom;Agricultural research;1;0,8;1,27734E-08;1,11E-13;;;;;;;;;;;;;;
United Kingdom;Agricultural land resources;1;0,75;1,19526E-08;1,04E-13;;;;;;;;;;;;;;
United Kingdom;Energy research;1;0,18;2,81054E-09;2,4E-14;;;;;;;;;;;;;;
United Kingdom;Water resources protection;1;0,16;2,53006E-09;2,2E-14;;;;;;;;;;;;;;
United Kingdom;Statistical capacity building;1;0,09;1,48499E-09;1,3E-14;;;;;;;;;;;;;;
United Kingdom;Flood prevention/control;1;0,08;1,31169E-09;1,1E-14;;;;;;;;;;;;;;
United Kingdom;Agricultural policy & admin. mgmt;1;0,08;1,27522E-09;1,1E-14;;;;;;;;;;;;;;
United Kingdom;Medical research;1;0,05;7,87011E-10;7E-15;;;;;;;;;;;;;;
United Kingdom;Material relief assistance and services;1;0,03;4,99107E-10;4E-15;;;;;;;;;;;;;;
United Kingdom;Sanitation - large systems;1;0,03;4,97556E-10;4E-15;;;;;;;;;;;;;;
United Kingdom;Legislatures and political parties;1;0,02;2,59985E-10;2E-15;;;;;;;;;;;;;;
United Kingdom;Waste management/disposal;1;0,01;1,82993E-10;2E-15;;;;;;;;;;;;;;
United Kingdom;Biosphere protection;1;0,01;1,19278E-10;1E-15;;;;;;;;;;;;;;
United Kingdom;Public finance management;1;0,01;1,0213E-10;1E-15;;;;;;;;;;;;;;
United Kingdom;Democratic participation and civil society;1;0;6,8009E-11;1E-15;;;;;;;;;;;;;;
United Kingdom;Human rights;1;0;2,5902E-11;0;;;;;;;;;;;;;;
United States;Environmental policy and admin. mgmt;6;62;1,98967E-07;1,327E-12;;;;;;;;;;;;;;
