Person,Year,Arena,Event,Name_ID,Participations Count,name,title_as_cop_participant,name_in_cop_partitipants_list,attended_cops_from_participants_list,country,filename,Words count,Key
A.R. Ravishankara,2013,IPCC,2013_IPCC,a.r. ravishankara,1,A.R. Ravishankara,Mr.,Mr. A.R. Ravishankara,1,,,2,A.R. Ravishankara|2013|IPCC
Aaron Cosbey,2008,Cop Side Event,2008_Cop Side Event,aaron cosbey,1,Aaron Cosbey,Mr.,Mr. Aaron Cosbey,8,,,2,Aaron Cosbey|2008|Cop Side Event
Aaron Gould,2008,Cop Side Event,2008_Cop Side Event,aaron gould,2,Aaron Gould,Mr.,Mr. Aaron Gould,1,,,2,Aaron Gould|2008|Cop Side Event
Aaron Gould,2009,Cop Side Event,2009_Cop Side Event,aaron gould,2,Aaron Gould,Mr.,Mr. Aaron Gould,1,,,2,Aaron Gould|2009|Cop Side Event
Abdalah Mokssit,2007,IPCC,2007_IPCC,abdalah mokssit,2,Abdalah Mokssit,Mr.,Mr. Abdalah Mokssit,1,,,2,Abdalah Mokssit|2007|IPCC
Abdalah Mokssit,2013,IPCC,2013_IPCC,abdalah mokssit,2,Abdalah Mokssit,Mr.,Mr. Abdalah Mokssit,1,,,2,Abdalah Mokssit|2013|IPCC
Abdon Nababan,2010,Cop Side Event,2010_Cop Side Event,abdon nababan,1,Abdon Nababan,Mr.,Mr. Abdon Nababan,4,,,2,Abdon Nababan|2010|Cop Side Event
Abdoulaye Sarr,2007,IPCC,2007_IPCC,abdoulaye sarr,2,Abdoulaye Sarr,Mr.,Mr. Abdoulaye Sarr,1,,,2,Abdoulaye Sarr|2007|IPCC
Abdoulaye Sarr,2013,IPCC,2013_IPCC,abdoulaye sarr,2,Abdoulaye Sarr,Mr.,Mr. Abdoulaye Sarr,1,,,2,Abdoulaye Sarr|2013|IPCC
Abdullatif S. Benrageb,2004,SBSTA,2004_SBSTA,abdullatif s. benrageb,4,Abdullatif S. BENRAGEB,Mr.,Mr. Abdullatif S. BENRAGEB,1,,FCCC_SBSTA_2004_13(2),3,Abdullatif S. BENRAGEB|2004|SBSTA
Abdullatif S. Benrageb,2005,SBSTA,2005_SBSTA,abdullatif s. benrageb,4,Abdullatif S. BENRAGEB,Mr.,Mr. Abdullatif S. BENRAGEB,1,,FCCC_SBSTA_2004_13(2),3,Abdullatif S. BENRAGEB|2005|SBSTA
Abdul-rahman Al-,2008,LEG,2008_LEG,abdul-rahman al-,1,Abdul-Rahman Al-,H.E. Mr.,H.E. Mr. Abdul-Rahman Al-,1,,FCCC_SBI_2008_6,2,Abdul-Rahman Al-|2008|LEG
Abdul-rahman Al-eryani,2008,LEG,2008_LEG,abdul-rahman al-eryani,1,Abdul-Rahman Al-Eryani,H.E. Mr.,H.E. Mr. Abdul-Rahman Al-Eryani,1,,FCCC_SBI_2008_6,2,Abdul-Rahman Al-Eryani|2008|LEG
Abdulwahab Al-sadoun,2012,Cop Side Event,2012_Cop Side Event,abdulwahab al-sadoun,1,Abdulwahab Al-Sadoun,Mr.,Mr. Abdulwahab Al-Sadoun,1,,,2,Abdulwahab Al-Sadoun|2012|Cop Side Event
Abias Moma Huongo,2010,Consultative group of experts,2010_Consultative group of experts,abias moma huongo,7,Abias Moma Huongo,Mr.,Mr. Abias Moma Huongo,4,,FCCC_SBSTA_2012_2,3,Abias Moma Huongo|2010|Consultative group of experts
Abias Moma Huongo,2010,SBI,2010_SBI,abias moma huongo,7,Abias Moma Huongo,Mr.,Mr. Abias Moma Huongo,4,,FCCC_SBSTA_2012_2,3,Abias Moma Huongo|2010|SBI
Abias Moma Huongo,2011,Consultative group of experts,2011_Consultative group of experts,abias moma huongo,7,Abias Moma Huongo,Mr.,Mr. Abias Moma Huongo,4,,FCCC_SBSTA_2012_2,3,Abias Moma Huongo|2011|Consultative group of experts
Abias Moma Huongo,2012,Consultative group of experts,2012_Consultative group of experts,abias moma huongo,7,Abias Moma Huongo,Mr.,Mr. Abias Moma Huongo,4,,FCCC_SBSTA_2012_2,3,Abias Moma Huongo|2012|Consultative group of experts
Abias Moma Huongo,2012,SBSTA,2012_SBSTA,abias moma huongo,7,Abias Moma Huongo,Mr.,Mr. Abias Moma Huongo,4,,FCCC_SBSTA_2012_2,3,Abias Moma Huongo|2012|SBSTA
Abias Moma Huongo,2013,Consultative group of experts,2013_Consultative group of experts,abias moma huongo,7,Abias Moma Huongo,Mr.,Mr. Abias Moma Huongo,4,,FCCC_SBSTA_2012_2,3,Abias Moma Huongo|2013|Consultative group of experts
Abiziou Tchinguilou,2011,LEG,2011_LEG,abiziou tchinguilou,6,Abiziou Tchinguilou,M.,M. Abiziou Tchinguilou,1,,FCCC_SBI_2011_4,2,Abiziou Tchinguilou|2011|LEG
Abiziou Tchinguilou,2012,LEG,2012_LEG,abiziou tchinguilou,6,Abiziou Tchinguilou,M.,M. Abiziou Tchinguilou,1,,FCCC_SBI_2011_4,2,Abiziou Tchinguilou|2012|LEG
Abiziou Tchinguilou,2013,LEG,2013_LEG,abiziou tchinguilou,6,Abiziou Tchinguilou,M.,M. Abiziou Tchinguilou,1,,FCCC_SBI_2011_4,2,Abiziou Tchinguilou|2013|LEG
Abyd Karmali,2012,Cop Side Event,2012_Cop Side Event,abyd karmali,1,Abyd Karmali,Mr.,Mr. Abyd Karmali,9,,,2,Abyd Karmali|2012|Cop Side Event
Achim Halpaap,2009,Cop Side Event,2009_Cop Side Event,achim halpaap,1,Achim Halpaap,Mr.,Mr. Achim Halpaap,5,,,2,Achim Halpaap|2009|Cop Side Event
Achim Steiner,2011,Cop Side Event,2011_Cop Side Event,achim steiner,1,Achim Steiner,Mr.,Mr. Achim Steiner,8,,,2,Achim Steiner|2011|Cop Side Event
Adam Bumpus,2004,Cop Side Event,2004_Cop Side Event,adam bumpus,1,Adam Bumpus,Mr.,Mr. Adam Bumpus,1,,,2,Adam Bumpus|2004|Cop Side Event
Adam Koniuszewski,2008,Cop Side Event,2008_Cop Side Event,adam koniuszewski,1,Adam Koniuszewski,Mr.,Mr. Adam Koniuszewski,2,,,2,Adam Koniuszewski|2008|Cop Side Event
Adam Matthews,2007,Cop Side Event,2007_Cop Side Event,adam matthews,1,Adam Matthews,Mr.,Mr. Adam Matthews,1,,,2,Adam Matthews|2007|Cop Side Event
Adam Poole,2006,Cop Side Event,2006_Cop Side Event,adam poole,1,Adam Poole,Mr.,Mr. Adam Poole,4,,,2,Adam Poole|2006|Cop Side Event
Adam Scott,2007,Cop Side Event,2007_Cop Side Event,adam scott,1,Adam Scott,Mr.,Mr. Adam Scott,4,,,2,Adam Scott|2007|Cop Side Event
Adel El Gammal,2009,Cop Side Event,2009_Cop Side Event,adel el gammal,1,Adel El Gammal,Mr.,Mr. Adel El Gammal,2,,,3,Adel El Gammal|2009|Cop Side Event
Adeyinka Adeyemi,2010,Cop Side Event,2010_Cop Side Event,adeyinka adeyemi,1,Adeyinka Adeyemi,Mr.,Mr. Adeyinka Adeyemi,4,,,2,Adeyinka Adeyemi|2010|Cop Side Event
Aditi Dass,2007,Cop Side Event,2007_Cop Side Event,aditi dass,1,Aditi Dass,Ms.,Ms. Aditi Dass,1,,,2,Aditi Dass|2007|Cop Side Event
Aditi Maheshwari,2010,Cop Side Event,2010_Cop Side Event,aditi maheshwari,1,Aditi Maheshwari,Ms.,Ms. Aditi Maheshwari,4,,,2,Aditi Maheshwari|2010|Cop Side Event
Adriana Opromolla,2012,Cop Side Event,2012_Cop Side Event,adriana opromolla,1,Adriana Opromolla,Ms.,Ms. Adriana Opromolla,2,,,2,Adriana Opromolla|2012|Cop Side Event
Adriana Paez,2010,Cop Side Event,2010_Cop Side Event,adriana paez,3,Adriana Paez,Ms.,Ms. Adriana Paez,2,,,2,Adriana Paez|2010|Cop Side Event
Adriana Paez,2011,Cop Side Event,2011_Cop Side Event,adriana paez,3,Adriana Paez,Ms.,Ms. Adriana Paez,2,,,2,Adriana Paez|2011|Cop Side Event
Adriana Paez,2012,Cop Side Event,2012_Cop Side Event,adriana paez,3,Adriana Paez,Ms.,Ms. Adriana Paez,2,,,2,Adriana Paez|2012|Cop Side Event
Adriana Soto,2012,Cop Side Event,2012_Cop Side Event,adriana soto,1,Adriana Soto,Sra.,Sra. Adriana Soto,1,,,2,Adriana Soto|2012|Cop Side Event
Adrian Macey,2006,SBI,2006_SBI,adrian macey,3,Adrian Macey,Mr.,Mr. Adrian Macey,3,,FCCC-SBI-2006-28,2,Adrian Macey|2006|SBI
Adrian Macey,2008,SBI,2008_SBI,adrian macey,3,Adrian Macey,Mr.,Mr. Adrian Macey,3,,FCCC-SBI-2006-28,2,Adrian Macey|2008|SBI
Adrian Macey,2012,Cop Side Event,2012_Cop Side Event,adrian macey,3,Adrian Macey,Mr.,Mr. Adrian Macey,3,,FCCC-SBI-2006-28,2,Adrian Macey|2012|Cop Side Event
Adrian Rimmer,2011,Cop Side Event,2011_Cop Side Event,adrian rimmer,1,Adrian Rimmer,Mr.,Mr. Adrian Rimmer,2,,,2,Adrian Rimmer|2011|Cop Side Event
Adrian Simmons,2007,IPCC,2007_IPCC,adrian simmons,2,Adrian Simmons,Mr.,Mr. Adrian Simmons,2,,,2,Adrian Simmons|2007|IPCC
Adrian Simmons,2013,IPCC,2013_IPCC,adrian simmons,2,Adrian Simmons,Mr.,Mr. Adrian Simmons,2,,,2,Adrian Simmons|2013|IPCC
Adrien Bory,2009,Cop Side Event,2009_Cop Side Event,adrien bory,1,Adrien Bory,Mr.,Mr. Adrien Bory,1,,,2,Adrien Bory|2009|Cop Side Event
Agnes De Rooij,2006,Cop Side Event,2006_Cop Side Event,agnes de rooij,1,Agnes de Rooij,Ms.,Ms. Agnes de Rooij,4,,,3,Agnes de Rooij|2006|Cop Side Event
Agnieszka Cyndecka,2008,Cop Side Event,2008_Cop Side Event,agnieszka cyndecka,3,Agnieszka Cyndecka,Ms.,Ms. Agnieszka Cyndecka,4,,,2,Agnieszka Cyndecka|2008|Cop Side Event
Agnieszka Cyndecka,2009,Cop Side Event,2009_Cop Side Event,agnieszka cyndecka,3,Agnieszka Cyndecka,Ms.,Ms. Agnieszka Cyndecka,4,,,2,Agnieszka Cyndecka|2009|Cop Side Event
Agnieszka Cyndecka,2010,Cop Side Event,2010_Cop Side Event,agnieszka cyndecka,3,Agnieszka Cyndecka,Ms.,Ms. Agnieszka Cyndecka,4,,,2,Agnieszka Cyndecka|2010|Cop Side Event
Agus Purnomo,2008,Cop Side Event,2008_Cop Side Event,agus purnomo,1,Agus Purnomo,Mr.,Mr. Agus Purnomo,5,,,2,Agus Purnomo|2008|Cop Side Event
Ahmed Jameel,2006,LEG,2006_LEG,ahmed jameel,5,Ahmed Jameel,Mr.,Mr. Ahmed Jameel,5,,FCCC-SBI-2006-28,2,Ahmed Jameel|2006|LEG
Ahmed Jameel,2006,SBI,2006_SBI,ahmed jameel,5,Ahmed Jameel,Mr.,Mr. Ahmed Jameel,5,,FCCC-SBI-2006-28,2,Ahmed Jameel|2006|SBI
Ahmed Jameel,2007,LEG,2007_LEG,ahmed jameel,5,Ahmed Jameel,Mr.,Mr. Ahmed Jameel,5,,FCCC-SBI-2006-28,2,Ahmed Jameel|2007|LEG
Aimee Barnes,2012,Cop Side Event,2012_Cop Side Event,aimee barnes,1,Aimee Barnes,Ms.,Ms. Aimee Barnes,2,,,2,Aimee Barnes|2012|Cop Side Event
Aimin Ma,2003,Consultative group of experts,2003_Consultative group of experts,aimin ma,1,Aimin MA,Mr.,Mr. Aimin MA,1,,,2,Aimin MA|2003|Consultative group of experts
Aino Pennanen,2011,Cop Side Event,2011_Cop Side Event,aino pennanen,1,Aino Pennanen,Ms.,Ms. Aino Pennanen,2,,,2,Aino Pennanen|2011|Cop Side Event
Ainun Nishat,2012,Cop Side Event,2012_Cop Side Event,ainun nishat,1,Ainun Nishat,Mr.,Mr. Ainun Nishat,7,,,2,Ainun Nishat|2012|Cop Side Event
Aira Kalela,2008,Cop Side Event,2008_Cop Side Event,aira kalela,1,Aira Kalela,Ms.,Ms. Aira Kalela,5,,,2,Aira Kalela|2008|Cop Side Event
Aiymgul Ismagulova,2010,Cop Side Event,2010_Cop Side Event,aiymgul ismagulova,1,Aiymgul Ismagulova,Ms.,Ms. Aiymgul Ismagulova,1,,,2,Aiymgul Ismagulova|2010|Cop Side Event
Ajay Kumar Jha,2011,Cop Side Event,2011_Cop Side Event,ajay kumar jha,2,Ajay Kumar Jha,Mr.,Mr. Ajay Kumar Jha,3,,,3,Ajay Kumar Jha|2011|Cop Side Event
Ajay Kumar Jha,2012,Cop Side Event,2012_Cop Side Event,ajay kumar jha,2,Ajay Kumar Jha,Mr.,Mr. Ajay Kumar Jha,3,,,3,Ajay Kumar Jha|2012|Cop Side Event
Ajay Mathur,2012,Cop Side Event,2012_Cop Side Event,ajay mathur,1,Ajay Mathur,Mr.,Mr. Ajay Mathur,7,,,2,Ajay Mathur|2012|Cop Side Event
Alain Saliba,2012,Cop Side Event,2012_Cop Side Event,alain saliba,1,Alain Saliba,Mr.,Mr. Alain Saliba,1,,,2,Alain Saliba|2012|Cop Side Event
Alan Mcdonald,2005,Cop Side Event,2005_Cop Side Event,alan mcdonald,2,Alan McDonald,Mr.,Mr. Alan McDonald,5,,,2,Alan McDonald|2005|Cop Side Event
Alan Mcdonald,2006,Cop Side Event,2006_Cop Side Event,alan mcdonald,2,Alan McDonald,Mr.,Mr. Alan McDonald,5,,,2,Alan McDonald|2006|Cop Side Event
Alan Miller,2005,Cop Side Event,2005_Cop Side Event,alan miller,1,Alan Miller,Mr.,Mr. Alan Miller,10,,,2,Alan Miller|2005|Cop Side Event
Alan R. Thomas,2004,Cop Side Event,2004_Cop Side Event,alan r. thomas,1,Alan R. THOMAS,Mr.,Mr. Alan R. THOMAS,1,,,3,Alan R. THOMAS|2004|Cop Side Event
Albert Fischer,2011,Cop Side Event,2011_Cop Side Event,albert fischer,1,Albert Fischer,Mr.,Mr. Albert Fischer,1,,,2,Albert Fischer|2011|Cop Side Event
Alberto Chinchilla,2010,Cop Side Event,2010_Cop Side Event,alberto chinchilla,1,Alberto Chinchilla,Mr.,Mr. Alberto Chinchilla,1,,,2,Alberto Chinchilla|2010|Cop Side Event
Aldo Flores Quiroga,2010,Cop Side Event,2010_Cop Side Event,aldo flores quiroga,1,Aldo Flores Quiroga,Sr.,Sr. Aldo Flores Quiroga,1,,,3,Aldo Flores Quiroga|2010|Cop Side Event
Alejandra Livschitz,2011,Cop Side Event,2011_Cop Side Event,alejandra livschitz,1,Alejandra Livschitz,Ms.,Ms. Alejandra Livschitz,1,,,2,Alejandra Livschitz|2011|Cop Side Event
Alejandro Bango,2004,Cop Side Event,2004_Cop Side Event,alejandro bango,1,Alejandro Bango,Mr.,Mr. Alejandro Bango,1,,,2,Alejandro Bango|2004|Cop Side Event
Alejandro Kilpatrick,2007,Cop Side Event,2007_Cop Side Event,alejandro kilpatrick,3,Alejandro Kilpatrick,Mr.,Mr. Alejandro Kilpatrick,2,,,2,Alejandro Kilpatrick|2007|Cop Side Event
Alejandro Kilpatrick,2011,Cop Side Event,2011_Cop Side Event,alejandro kilpatrick,3,Alejandro Kilpatrick,Mr.,Mr. Alejandro Kilpatrick,2,,,2,Alejandro Kilpatrick|2011|Cop Side Event
Alejandro Kilpatrick,2012,Cop Side Event,2012_Cop Side Event,alejandro kilpatrick,3,Alejandro Kilpatrick,Mr.,Mr. Alejandro Kilpatrick,2,,,2,Alejandro Kilpatrick|2012|Cop Side Event
Alessandro Baccini,2012,Cop Side Event,2012_Cop Side Event,alessandro baccini,1,Alessandro Baccini,Mr.,Mr. Alessandro Baccini,5,,,2,Alessandro Baccini|2012|Cop Side Event
Alessandro Lanza,2004,SBSTA,2004_SBSTA,alessandro lanza,2,Alessandro LANZA,Mr.,Mr. Alessandro LANZA,3,,FCCC_SBSTA_2004_13(2),2,Alessandro LANZA|2004|SBSTA
Alexa Kleysteuber,2011,SBI,2011_SBI,alexa kleysteuber,2,Alexa Kleysteuber,Sra.,Sra. Alexa Kleysteuber,2,,FCCC-SBI-2011-07,2,Alexa Kleysteuber|2011|SBI
Alexa Kleysteuber,2012,Cop Side Event,2012_Cop Side Event,alexa kleysteuber,2,Alexa Kleysteuber,Sra.,Sra. Alexa Kleysteuber,2,,FCCC-SBI-2011-07,2,Alexa Kleysteuber|2012|Cop Side Event
Alexander Ochs,2008,Cop Side Event,2008_Cop Side Event,alexander ochs,2,Alexander Ochs,Mr.,Mr. Alexander Ochs,5,,,2,Alexander Ochs|2008|Cop Side Event
Alexander Ochs,2010,Cop Side Event,2010_Cop Side Event,alexander ochs,2,Alexander Ochs,Mr.,Mr. Alexander Ochs,5,,,2,Alexander Ochs|2010|Cop Side Event
Alexander Pankin,2004,Officer of the COP,2004_Officer of the COP,alexander pankin,3,Alexander Pankin,Mr.,Mr. Alexander Pankin,3,,,2,Alexander Pankin|2004|Officer of the COP
Alexander Pankin,2006,Officer of the COP,2006_Officer of the COP,alexander pankin,3,Alexander Pankin,Mr.,Mr. Alexander Pankin,3,,,2,Alexander Pankin|2006|Officer of the COP
Alexander Pankin,2007,Officer of the COP,2007_Officer of the COP,alexander pankin,3,Alexander Pankin,Mr.,Mr. Alexander Pankin,3,,,2,Alexander Pankin|2007|Officer of the COP
Alexander Pisarenko,2004,Consultative group of experts,2004_Consultative group of experts,alexander pisarenko,5,Alexander Pisarenko,Mr.,Mr. Alexander Pisarenko,2,,FCCC-SBI-2004-10,2,Alexander Pisarenko|2004|Consultative group of experts
Alexander Pisarenko,2004,SBI,2004_SBI,alexander pisarenko,5,Alexander Pisarenko,Mr.,Mr. Alexander Pisarenko,2,,FCCC-SBI-2004-10,2,Alexander Pisarenko|2004|SBI
Alexander Pisarenko,2005,Consultative group of experts,2005_Consultative group of experts,alexander pisarenko,5,Alexander Pisarenko,Mr.,Mr. Alexander Pisarenko,2,,FCCC-SBI-2004-10,2,Alexander Pisarenko|2005|Consultative group of experts
Alexander Pisarenko,2005,SBI,2005_SBI,alexander pisarenko,5,Alexander Pisarenko,Mr.,Mr. Alexander Pisarenko,2,,FCCC-SBI-2004-10,2,Alexander Pisarenko|2005|SBI
Alexander Pisarenko,2006,Consultative group of experts,2006_Consultative group of experts,alexander pisarenko,5,Alexander Pisarenko,Mr.,Mr. Alexander Pisarenko,2,,FCCC-SBI-2004-10,2,Alexander Pisarenko|2006|Consultative group of experts
Alexander Sarac,2012,Cop Side Event,2012_Cop Side Event,alexander sarac,1,Alexander Sarac,Mr.,Mr. Alexander Sarac,4,,,2,Alexander Sarac|2012|Cop Side Event
Alexandra Amerstorfer,2005,Cop Side Event,2005_Cop Side Event,alexandra amerstorfer,1,Alexandra Amerstorfer,Ms.,Ms. Alexandra Amerstorfer,5,,,2,Alexandra Amerstorfer|2005|Cop Side Event
Alexandra Galin,2009,Cop Side Event,2009_Cop Side Event,alexandra galin,1,Alexandra Galin,Ms.,Ms. Alexandra Galin,1,,,2,Alexandra Galin|2009|Cop Side Event
Alexandra Viets,2010,Cop Side Event,2010_Cop Side Event,alexandra viets,1,Alexandra Viets,Ms.,Ms. Alexandra Viets,3,,,2,Alexandra Viets|2010|Cop Side Event
Alexandre Grebenkov,2003,Cop Side Event,2003_Cop Side Event,alexandre grebenkov,4,Alexandre Grebenkov,Mr.,Mr. Alexandre Grebenkov,6,,,2,Alexandre Grebenkov|2003|Cop Side Event
Alexandre Grebenkov,2007,Cop Side Event,2007_Cop Side Event,alexandre grebenkov,4,Alexandre Grebenkov,Mr.,Mr. Alexandre Grebenkov,6,,,2,Alexandre Grebenkov|2007|Cop Side Event
Alexandre Grebenkov,2008,Cop Side Event,2008_Cop Side Event,alexandre grebenkov,4,Alexandre Grebenkov,Mr.,Mr. Alexandre Grebenkov,6,,,2,Alexandre Grebenkov|2008|Cop Side Event
Alexandre Grebenkov,2009,Cop Side Event,2009_Cop Side Event,alexandre grebenkov,4,Alexandre Grebenkov,Mr.,Mr. Alexandre Grebenkov,6,,,2,Alexandre Grebenkov|2009|Cop Side Event
Alexandre Marty,2009,Cop Side Event,2009_Cop Side Event,alexandre marty,1,Alexandre Marty,Mr.,Mr. Alexandre Marty,5,,,2,Alexandre Marty|2009|Cop Side Event
Alex Hanafi,2011,Cop Side Event,2011_Cop Side Event,alex hanafi,1,Alex Hanafi,Mr.,Mr. Alex Hanafi,2,,,2,Alex Hanafi|2011|Cop Side Event
Alex Hannant,2010,Cop Side Event,2010_Cop Side Event,alex hannant,1,Alex Hannant,Mr.,Mr. Alex Hannant,2,,,2,Alex Hannant|2010|Cop Side Event
Alex Kaat,2008,Cop Side Event,2008_Cop Side Event,alex kaat,3,Alex Kaat,Mr.,Mr. Alex Kaat,2,,,2,Alex Kaat|2008|Cop Side Event
Alex Kaat,2009,Cop Side Event,2009_Cop Side Event,alex kaat,3,Alex Kaat,Mr.,Mr. Alex Kaat,2,,,2,Alex Kaat|2009|Cop Side Event
Alex Kaat,2011,Cop Side Event,2011_Cop Side Event,alex kaat,3,Alex Kaat,Mr.,Mr. Alex Kaat,2,,,2,Alex Kaat|2011|Cop Side Event
Alex Miston Banda,2009,Cop Side Event,2009_Cop Side Event,alex miston banda,3,Alex Miston Banda,Mr.,Mr. Alex Miston Banda,4,,,3,Alex Miston Banda|2009|Cop Side Event
Alex Miston Banda,2011,Cop Side Event,2011_Cop Side Event,alex miston banda,3,Alex Miston Banda,Mr.,Mr. Alex Miston Banda,4,,,3,Alex Miston Banda|2011|Cop Side Event
Alex Miston Banda,2012,Cop Side Event,2012_Cop Side Event,alex miston banda,3,Alex Miston Banda,Mr.,Mr. Alex Miston Banda,4,,,3,Alex Miston Banda|2012|Cop Side Event
Alfred Omenya,2006,Cop Side Event,2006_Cop Side Event,alfred omenya,1,Alfred Omenya,Mr.,Mr. Alfred Omenya,4,,,2,Alfred Omenya|2006|Cop Side Event
Alice Harrison,2011,Cop Side Event,2011_Cop Side Event,alice harrison,1,Alice Harrison,Ms.,Ms. Alice Harrison,1,,,2,Alice Harrison|2011|Cop Side Event
Alice Thuault,2011,Cop Side Event,2011_Cop Side Event,alice thuault,1,Alice Thuault,Sra.,Sra. Alice Thuault,1,,,2,Alice Thuault|2011|Cop Side Event
Aliioaiga Feturi Elisaia,2006,Officer of the COP,2006_Officer of the COP,aliioaiga feturi elisaia,1,Aliioaiga Feturi Elisaia,H.E. Mr.,H.E. Mr. Aliioaiga Feturi Elisaia,7,,,3,Aliioaiga Feturi Elisaia|2006|Officer of the COP
Ali Khan,2003,Officer of the COP,2003_Officer of the COP,ali khan,7,Ali Khan,Mr.,Mr. Ali Khan,1,,FCCC_SBSTA_2005_10,2,Ali Khan|2003|Officer of the COP
Ali Khan,2004,Officer of the COP,2004_Officer of the COP,ali khan,7,Ali Khan,Mr.,Mr. Ali Khan,1,,FCCC_SBSTA_2005_10,2,Ali Khan|2004|Officer of the COP
Ali Khan,2005,SBSTA,2005_SBSTA,ali khan,7,Ali Khan,Mr.,Mr. Ali Khan,1,,FCCC_SBSTA_2005_10,2,Ali Khan|2005|SBSTA
Ali Khan,2006,SBSTA,2006_SBSTA,ali khan,7,Ali Khan,Mr.,Mr. Ali Khan,1,,FCCC_SBSTA_2005_10,2,Ali Khan|2006|SBSTA
Ali Khan,2007,SBSTA,2007_SBSTA,ali khan,7,Ali Khan,Mr.,Mr. Ali Khan,1,,FCCC_SBSTA_2005_10,2,Ali Khan|2007|SBSTA
Ali Lishan,2009,LEG,2009_LEG,ali lishan,3,Ali Lishan,Mr.,Mr. Ali Lishan,3,,FCCC_SBI_2010_5,2,Ali Lishan|2009|LEG
Ali Lishan,2010,LEG,2010_LEG,ali lishan,3,Ali Lishan,Mr.,Mr. Ali Lishan,3,,FCCC_SBI_2010_5,2,Ali Lishan|2010|LEG
Alina Averchenkova,2009,Cop Side Event,2009_Cop Side Event,alina averchenkova,1,Alina Averchenkova,Ms.,Ms. Alina Averchenkova,6,,,2,Alina Averchenkova|2009|Cop Side Event
Alina Narusova,2009,Cop Side Event,2009_Cop Side Event,alina narusova,2,Alina Narusova,Ms.,Ms. Alina Narusova,1,,,2,Alina Narusova|2009|Cop Side Event
Alina Narusova,2010,Cop Side Event,2010_Cop Side Event,alina narusova,2,Alina Narusova,Ms.,Ms. Alina Narusova,1,,,2,Alina Narusova|2010|Cop Side Event
Ali Shareef,2010,LEG,2010_LEG,ali shareef,2,Ali Shareef,Mr.,Mr. Ali Shareef,2,,FCCC_SBI_2010_5,2,Ali Shareef|2010|LEG
Alison Conboy,2011,Cop Side Event,2011_Cop Side Event,alison conboy,1,Alison Conboy,Ms.,Ms. Alison Conboy,1,,,2,Alison Conboy|2011|Cop Side Event
Ali Tauqeer Sheikh,2012,Cop Side Event,2012_Cop Side Event,ali tauqeer sheikh,1,Ali Tauqeer Sheikh,Mr.,Mr. Ali Tauqeer Sheikh,5,,,3,Ali Tauqeer Sheikh|2012|Cop Side Event
Alka Awasthi,2012,Cop Side Event,2012_Cop Side Event,alka awasthi,1,Alka Awasthi,Ms.,Ms. Alka Awasthi,1,,,2,Alka Awasthi|2012|Cop Side Event
Allan Tippet Bero,2009,Cop Side Event,2009_Cop Side Event,allan tippet bero,1,Allan Tippet Bero,Mr.,Mr. Allan Tippet Bero,1,,,3,Allan Tippet Bero|2009|Cop Side Event
Alma Jean,2011,SBI,2011_SBI,alma jean,1,Alma Jean,Ms.,Ms. Alma Jean,5,,FCCC-SBI-2011-17,2,Alma Jean|2011|SBI
Almuth Ernsting,2008,Cop Side Event,2008_Cop Side Event,almuth ernsting,1,Almuth Ernsting,Ms.,Ms. Almuth Ernsting,2,,,2,Almuth Ernsting|2008|Cop Side Event
Alon Carmel,2007,Cop Side Event,2007_Cop Side Event,alon carmel,1,Alon Carmel,Mr.,Mr. Alon Carmel,2,,,2,Alon Carmel|2007|Cop Side Event
Aloysius Fomenky,2011,Cop Side Event,2011_Cop Side Event,aloysius fomenky,2,Aloysius Fomenky,Mr.,Mr. Aloysius Fomenky,3,,,2,Aloysius Fomenky|2011|Cop Side Event
Aloysius Fomenky,2012,Cop Side Event,2012_Cop Side Event,aloysius fomenky,2,Aloysius Fomenky,Mr.,Mr. Aloysius Fomenky,3,,,2,Aloysius Fomenky|2012|Cop Side Event
Alun Gu,2011,Cop Side Event,2011_Cop Side Event,alun gu,1,Alun Gu,Ms.,Ms. Alun Gu,3,,,2,Alun Gu|2011|Cop Side Event
Alvin Lin,2009,Cop Side Event,2009_Cop Side Event,alvin lin,1,Alvin Lin,Mr.,Mr. Alvin Lin,2,,,2,Alvin Lin|2009|Cop Side Event
Al Waleed Hamad Al-malik,2003,SBI,2003_SBI,al waleed hamad al-malik,1,Al Waleed Hamad Al-Malik,Mr.,Mr. Al Waleed Hamad Al-Malik,6,,FCCC-SBI-2003-19,4,Al Waleed Hamad Al-Malik|2003|SBI
Alyson Brody,2010,Cop Side Event,2010_Cop Side Event,alyson brody,1,Alyson Brody,Ms.,Ms. Alyson Brody,2,,,2,Alyson Brody|2010|Cop Side Event
Alyssa Johl,2009,Cop Side Event,2009_Cop Side Event,alyssa johl,3,Alyssa Johl,Ms.,Ms. Alyssa Johl,5,,,2,Alyssa Johl|2009|Cop Side Event
Alyssa Johl,2011,Cop Side Event,2011_Cop Side Event,alyssa johl,3,Alyssa Johl,Ms.,Ms. Alyssa Johl,5,,,2,Alyssa Johl|2011|Cop Side Event
Alyssa Johl,2012,Cop Side Event,2012_Cop Side Event,alyssa johl,3,Alyssa Johl,Ms.,Ms. Alyssa Johl,5,,,2,Alyssa Johl|2012|Cop Side Event
Amadou Dia,2005,Cop Side Event,2005_Cop Side Event,amadou dia,2,Amadou Dia,M.,M. Amadou Dia,1,,,2,Amadou Dia|2005|Cop Side Event
