Person,Year,Arena,Event,Name_ID,Participations Count,name,title_as_cop_participant,name_in_cop_partitipants_list,attended_cops_from_participants_list,country,filename,Words count,Key
Jennifer Weiss,2009,Cop Side Event,2009_Cop Side Event,jennifer weiss,1,Jennifer Weiss,Ms.,Ms. Jennifer Weiss,2,,,2,Jennifer Weiss|2009|Cop Side Event
Jenny Gell,2004,Cop Side Event,2004_Cop Side Event,jenny gell,9,Jenny Gell,Ms.,Ms. Jenny Gell,8,,,2,Jenny Gell|2004|Cop Side Event
Jenny Gell,2005,Cop Side Event,2005_Cop Side Event,jenny gell,9,Jenny Gell,Ms.,Ms. Jenny Gell,8,,,2,Jenny Gell|2005|Cop Side Event
Jenny Gell,2006,Cop Side Event,2006_Cop Side Event,jenny gell,9,Jenny Gell,Ms.,Ms. Jenny Gell,8,,,2,Jenny Gell|2006|Cop Side Event
Jenny Gell,2007,Cop Side Event,2007_Cop Side Event,jenny gell,9,Jenny Gell,Ms.,Ms. Jenny Gell,8,,,2,Jenny Gell|2007|Cop Side Event
Jenny Gell,2008,Cop Side Event,2008_Cop Side Event,jenny gell,9,Jenny Gell,Ms.,Ms. Jenny Gell,8,,,2,Jenny Gell|2008|Cop Side Event
Jenny Gell,2009,Cop Side Event,2009_Cop Side Event,jenny gell,9,Jenny Gell,Ms.,Ms. Jenny Gell,8,,,2,Jenny Gell|2009|Cop Side Event
Jenny Gell,2010,Cop Side Event,2010_Cop Side Event,jenny gell,9,Jenny Gell,Ms.,Ms. Jenny Gell,8,,,2,Jenny Gell|2010|Cop Side Event
Jenny Gell,2011,Cop Side Event,2011_Cop Side Event,jenny gell,9,Jenny Gell,Ms.,Ms. Jenny Gell,8,,,2,Jenny Gell|2011|Cop Side Event
Jenny Gell,2012,Cop Side Event,2012_Cop Side Event,jenny gell,9,Jenny Gell,Ms.,Ms. Jenny Gell,8,,,2,Jenny Gell|2012|Cop Side Event
Jenny Vaca,2010,Cop Side Event,2010_Cop Side Event,jenny vaca,2,Jenny Vaca,Sra.,Sra. Jenny Vaca,2,,,2,Jenny Vaca|2010|Cop Side Event
Jenny Vaca,2011,Cop Side Event,2011_Cop Side Event,jenny vaca,2,Jenny Vaca,Sra.,Sra. Jenny Vaca,2,,,2,Jenny Vaca|2011|Cop Side Event
Jeremy Osborn,2009,Cop Side Event,2009_Cop Side Event,jeremy osborn,3,Jeremy Osborn,Mr.,Mr. Jeremy Osborn,4,,,2,Jeremy Osborn|2009|Cop Side Event
Jeremy Osborn,2010,Cop Side Event,2010_Cop Side Event,jeremy osborn,3,Jeremy Osborn,Mr.,Mr. Jeremy Osborn,4,,,2,Jeremy Osborn|2010|Cop Side Event
Jeremy Osborn,2011,Cop Side Event,2011_Cop Side Event,jeremy osborn,3,Jeremy Osborn,Mr.,Mr. Jeremy Osborn,4,,,2,Jeremy Osborn|2011|Cop Side Event
Jerker Tamelander,2006,Cop Side Event,2006_Cop Side Event,jerker tamelander,1,Jerker Tamelander,Mr.,Mr. Jerker Tamelander,1,,,2,Jerker Tamelander|2006|Cop Side Event
Jeroen Aerts,2005,Cop Side Event,2005_Cop Side Event,jeroen aerts,1,Jeroen Aerts,Mr.,Mr. Jeroen Aerts,4,,,2,Jeroen Aerts|2005|Cop Side Event
Jeroen Van Bruggen,2009,Cop Side Event,2009_Cop Side Event,jeroen van bruggen,2,Jeroen Van Bruggen,Mr.,Mr. Jeroen Van Bruggen,4,,,3,Jeroen Van Bruggen|2009|Cop Side Event
Jeroen Van Bruggen,2010,Cop Side Event,2010_Cop Side Event,jeroen van bruggen,2,Jeroen Van Bruggen,Mr.,Mr. Jeroen Van Bruggen,4,,,3,Jeroen Van Bruggen|2010|Cop Side Event
Jerry Stokes,2008,Cop Side Event,2008_Cop Side Event,jerry stokes,1,Jerry Stokes,Mr.,Mr. Jerry Stokes,1,,,2,Jerry Stokes|2008|Cop Side Event
Jessica Boyle,2010,Cop Side Event,2010_Cop Side Event,jessica boyle,2,Jessica Boyle,Ms.,Ms. Jessica Boyle,4,,,2,Jessica Boyle|2010|Cop Side Event
Jessica Boyle,2012,Cop Side Event,2012_Cop Side Event,jessica boyle,2,Jessica Boyle,Ms.,Ms. Jessica Boyle,4,,,2,Jessica Boyle|2012|Cop Side Event
Jessica Brown,2010,Cop Side Event,2010_Cop Side Event,jessica brown,1,Jessica Brown,Ms.,Ms. Jessica Brown,5,,,2,Jessica Brown|2010|Cop Side Event
