cigrasp;Ethiopia;Ethiopia
cigrasp;Fiji;Fiji
cigrasp;Germany;Germany
cigrasp;Ghana;Ghana
cigrasp;Grenada;Grenada
cigrasp;Guatemala;Guatemala
cigrasp;Guyana;Guyana
cigrasp;Haiti;Haiti
cigrasp;Honduras;Honduras
cigrasp;India;India
cigrasp;Indonesia;Indonesia
cigrasp;Jamaica;Jamaica
cigrasp;Kenya;Kenya
cigrasp;Laos;Laos
cigrasp;Latvia;Latvia
cigrasp;Liberia;Liberia
cigrasp;Marshall Islands;Marshall Islands
cigrasp;Mauritania;Mauritania
cigrasp;Mexico;Mexico
cigrasp;Morocco;Morocco
cigrasp;Mozambique;Mozambique
cigrasp;Nauru;Nauru
cigrasp;Nepal;Nepal
cigrasp;Niger;Niger
cigrasp;Papua New Guinea;Papua New Guinea
cigrasp;Peru;Peru
cigrasp;Philippines;Philippines
cigrasp;Plurinational State of;Bolivia
cigrasp;Rwanda;Rwanda
cigrasp;Samoa;Samoa
cigrasp;Senegal;Senegal
cigrasp;South Africa;South Africa
cigrasp;Sri Lanka;Sri Lanka
cigrasp;St Lucia;St. Lucia
cigrasp;St Vincent and the Grenadines;Saint Vincent and the Grenadines
cigrasp;St. Lucia;St. Lucia
cigrasp;Tajikistan;Tajikistan
cigrasp;Tanzania;Tanzania
cigrasp;Thailand;Thailand
cigrasp;Tonga;Tonga
cigrasp;Tunisia;Tunisia
cigrasp;Tuvalu;Tuvalu
cigrasp;Uganda;Uganda
cigrasp;United Republic of;Tanzania
cigrasp;Uruguay;Uruguay
cigrasp;Viet Nam;Vietnam
cigrasp;Vietnam;Vietnam
cigrasp;Yemen;Yemen
cigrasp;Zambia;Zambia
cigrasp;Zimbabwe;Zimbabwe
cigrasp;null;Non-specific
psi;Algeria;Algeria
psi;Australia;Australia
psi;Austria;Austria
psi;Bangladesh;Bangladesh
psi;Brazil;Brazil
psi;Cambodia;Cambodia
psi;Canada;Canada
psi;China;China
psi;Colombia;Colombia
psi;Cote d'Ivoire;Ivory Coast
psi;Dominican Republic;Dominican Republic
psi;Ecuador;Ecuador
psi;Egypt;Egypt
psi;El Salvador;El Salvador
psi;Ethiopia;Ethiopia
psi;France;France
psi;Germany;Germany
psi;Ghana;Ghana
psi;Guatemala;Guatemala
psi;Haiti;Haiti
psi;India;India
psi;Indonesia;Indonesia
psi;Israel;Israel
psi;Italy;Italy
psi;Japan;Japan
psi;Kenya;Kenya
psi;Lao People's Democratic Republic;Laos
psi;Madagascar;Madagascar
psi;Mexico;Mexico
psi;Morocco;Morocco
psi;Mozambique;Mozambique
psi;Nepal;Nepal
psi;Nicaragua;Nicaragua
psi;Panama;Panama
psi;Peru;Peru
psi;Philippines;Philippines
psi;Romania;Romania
psi;South Africa;South Africa
psi;Spain;Spain
psi;Sudan;Sudan
psi;Switzerland;Switzerland
psi;Tanzania;Tanzania
psi;Thailand;Thailand
psi;The Netherlands;Netherlands
psi;Tunisia;Tunisia
psi;Uganda;Uganda
psi;United Arab Emirates;United Arab Emirates
psi;United Kingdom;United Kingdom
psi;United States of America;United States
psi;Viet Nam;Vietnam
psi;World;Non-specific
psi;Zambia;Zambia
climatewise;Albania;Albania
climatewise;Algeria;Algeria
climatewise;Anguilla;Anguilla
climatewise;Antigua & Barbuda;Antigua and Barbuda
climatewise;Argentina;Argentina
climatewise;Armenia;Armenia
climatewise;Bahamas;The Bahamas
climatewise;Bangladesh;Bangladesh
climatewise;Barbados;Barbados
climatewise;Belize;Belize
climatewise;Bermuda;Bermuda
climatewise;Bolivia;Bolivia
climatewise;Bosnia and Herzegovina;Bosnia and Herzegovina
climatewise;Brazil;Brazil
climatewise;Bulgaria;Bulgaria
climatewise;Burkina Faso;Burkina Faso
climatewise;Cape Verde;Cape Verde
climatewise;Cayman Islands;Cayman Islands
climatewise;Chile;Chile
climatewise;China;China
climatewise;Colombia;Colombia
climatewise;Comoros;Comoros
climatewise;Cook Islands;Cook Islands
climatewise;Costa Rica;Costa Rica
climatewise;Cuba;Cuba
climatewise;Dominican Republic;Dominican Republic
climatewise;East Timor;East Timor
climatewise;Ecuador;Ecuador
climatewise;El Salvador;El Salvador
climatewise;Ethiopia;Ethiopia
climatewise;Fiji;Fiji
climatewise;Georgia;Georgia
climatewise;Grenada;Grenada
climatewise;Guatemala;Guatemala
climatewise;Guinea-Bissau;Guinea-Bissau
climatewise;Guyana;Guyana
climatewise;Haiti;Haiti
climatewise;Honduras;Honduras
climatewise;India;India
climatewise;Indonesia;Indonesia
climatewise;Iran;Iran
climatewise;Jamaica;Jamaica
climatewise;Kazakhstan;Kazakhstan
climatewise;Kenya;Kenya
climatewise;Kiribati;Kiribati
climatewise;Macedonia;Macedonia
climatewise;Malawi;Malawi
climatewise;Maldives;Maldives
climatewise;Mali;Mali
climatewise;Marshall Islands;Marshall Islands
climatewise;Mauritius;Mauritius
climatewise;Mexico;Mexico
climatewise;Micronesia (Federated States of);Federated States of Micronesia
climatewise;Moldova;Moldova
climatewise;Mongolia;Mongolia
climatewise;Morocco;Morocco
climatewise;Nauru;Nauru
climatewise;Nepal;Nepal
climatewise;Nicaragua;Nicaragua
climatewise;Niue Islands;Niue
climatewise;Pakistan;Pakistan
climatewise;Palau;Palau
climatewise;Panama;Panama
climatewise;Papua New  Guinea;Papua New Guinea
climatewise;Papua New Guinea;Papua New Guinea
climatewise;Paraguay;Paraguay
climatewise;Peru;Peru
climatewise;Philippines;Philippines
climatewise;Romania;Romania
climatewise;Russia;Russia
climatewise;Saint Lucia;St. Lucia
climatewise;Samoa;Samoa
climatewise;Sao Tome and Principe;Sao Tome and Principe
climatewise;Senegal;Senegal
climatewise;Serbia;Serbia
climatewise;Seychelles;Seychelles
climatewise;Singapore;Singapore
climatewise;Solomon Islands;Solomon Islands
climatewise;South Africa;South Africa
climatewise;St. Kitts & Nevis;Saint Kitts and Nevis
climatewise;St. Vincent & the Grenadines;Saint Vincent and the Grenadines
climatewise;Sudan;Sudan
climatewise;Suriname;Suriname
climatewise;Tanzania;Tanzania
climatewise;Thailand;Thailand
climatewise;Timor-Leste;Timor-Leste
climatewise;Tonga;Tonga
climatewise;Trinidad & Tobago;Trinidad and Tobago
climatewise;Turkey;Turkey
climatewise;Turks & Caicos Islands;Turks & Caicos Islands
climatewise;Tuvalu;Tuvalu
climatewise;Ukraine;Ukraine
climatewise;Uruguay;Uruguay
climatewise;Vanuatu;Vanuatu
climatewise;Venezuela;Venezuela
climatewise;Viet Nam;Vietnam
oecd_riomarkers;Afghanistan;Afghanistan
oecd_riomarkers;Africa, regional;Non-specific
oecd_riomarkers;Albania;Albania
oecd_riomarkers;Algeria;Algeria
oecd_riomarkers;America, regional;Non-specific
oecd_riomarkers;Angola;Angola
oecd_riomarkers;Antigua and Barbuda;Antigua and Barbuda
oecd_riomarkers;Argentina;Argentina
oecd_riomarkers;Asia, regional;Non-specific
oecd_riomarkers;Azerbaijan;Azerbaijan
oecd_riomarkers;Bangladesh;Bangladesh
oecd_riomarkers;Barbados;Barbados
oecd_riomarkers;Belize;Belize
oecd_riomarkers;Benin;Benin
oecd_riomarkers;Bhutan;Bhutan
oecd_riomarkers;Bilateral, unspecified;Non-specific
oecd_riomarkers;Bolivia;Bolivia
oecd_riomarkers;Bosnia-Herzegovina;Bosnia and Herzegovina
oecd_riomarkers;Botswana;Botswana
oecd_riomarkers;Brazil;Brazil
oecd_riomarkers;Burkina Faso;Burkina Faso
oecd_riomarkers;Burundi;Burundi
oecd_riomarkers;Cambodia;Cambodia
oecd_riomarkers;Cameroon;Cameroon
oecd_riomarkers;Cape Verde;Cape Verde
oecd_riomarkers;Central African Rep.;Central African Republic
oecd_riomarkers;Central Asia, regional;Non-specific
oecd_riomarkers;Chad;Chad
oecd_riomarkers;Chile;Chile
oecd_riomarkers;China;China
oecd_riomarkers;Colombia;Colombia
oecd_riomarkers;Comoros;Comoros
oecd_riomarkers;Congo, Dem. Rep.;Democratic Republic of Congo
